IBUS;IORD;P;TETA
    1;   64;    0.0000;   30.6219;
    2;   84;    0.0000;   38.0553;
    3;   53;  -27.0000;   29.6538;
    4;   68;    0.0000;   30.7467;
    5;   85;    0.0000;   44.6909;
    6;  103;    0.0000;   43.5723;
    7;  117;    0.0000;   37.3699;
    8;   86;    0.0000;   41.7944;
    9;  104;    0.0000;   43.1453;
   10;  121;    0.0000;   37.9879;
   11;  105;    0.0000;   41.1536;
   12;   87;    0.0000;   36.3972;
   13;  122;    0.0000;   36.5962;
   14;    1;  114.3339;   43.6178;
   15;   88;    0.0000;   47.7579;
   16;  118;    0.0000;   35.7057;
   17;   89;    0.0000;   45.4342;
   18;  101;    0.0000;   46.4500;
   19;   72;    0.0000;   40.4503;
   20;   69;    0.0000;   40.9647;
   21;   66;  -10.2507;   39.3064;
   22;   78;    0.0000;   37.2051;
   23;   74;    0.0000;   38.1725;
   24;  102;    0.0000;   44.9446;
   25;    2;  -12.8568;   37.5746;
   26;   90;    0.0000;   37.9892;
   27;  119;    0.0000;   38.3647;
   28;   35;    0.0000;   38.3647;
   29;   76;    0.0000;   38.2605;
   30;   91;   -4.0829;   49.9057;
   31;   51;    0.0000;   30.6219;
   32;    3;    0.0000;   38.3647;
   33;   52;    0.0000;   38.0897;
   34;  123;    0.0000;   34.4714;
   35;    4;    0.0000;   37.9879;
   36;   36;    0.0000;   37.9879;
   37;   59;    0.0000;   30.2401;
   38;   80;   -2.0849;   44.5389;
   39;   79;   -0.0869;   43.7380;
   40;   81;   -2.7798;   44.9764;
   41;   77;   -1.9980;   41.7605;
   42;   83;    0.0000;   48.1683;
   43;   82;    0.0000;   46.2739;
   44;   75; 1067.7871;   38.9971;
   45;   71;    0.0000;   31.8090;
   46;   73;-1068.5690;   32.8455;
   47;  120;    0.0000;   38.0897;
   48;   92;    0.0000;   39.2167;
   49;   37;    0.0000;   38.0897;
   50;    5;    0.0000;   38.0897;
   51;   38;    0.0000;   29.6538;
   52;    6;    0.0000;   29.6538;
   53;   60;   -3.5617;   30.7412;
   54;   54;  -25.3660;   29.3929;
   55;    7;   10.5000;   30.1742;
   56;   39;   -9.9032;   29.4425;
   57;   93;    0.0000;   32.9408;
   58;   65;    0.0000;   33.7117;
   59;    8;    8.3657;   38.1178;
   60;   40;    0.0000;   37.7561;
   61;   55;  -14.8548;   37.0985;
   62;   61;   -7.9920;   37.5156;
   63;   99;    0.0000;   48.6960;
   64;   94;    0.0000;   48.7746;
   65;  100;    0.0000;   48.0242;
   66;   95;   35.0000;   51.4774;
   67;   97;    0.0000;   49.4618;
   68;   96;   35.0000;   52.2221;
   69;   98;    0.0000;   50.1696;
   70;  124;    0.0000;   32.1253;
   71;  106;    0.0000;   38.2114;
   72;  133;    0.0000;   -2.1073;
   73;  114; -700.0000;   -6.8130;
   74;  115; -500.0000;   -5.8225;
   75;    9;    0.0000;   -5.8225;
   76;   10;    0.0000;   -5.8225;
   77;   11;    0.0000;   -6.8130;
   78;   12;    0.0000;   -6.8130;
   79;   13;    0.0000;   -6.8130;
   80;   14;    0.0000;   -6.8130;
   81;   15;   76.0000;    0.0584;
   82;   16;    0.0000;   -6.8130;
   83;   17;    0.0000;   -6.8130;
   84;   18;    0.0000;   -5.8225;
   85;   19;  611.0343;    0.2313;
   86;   45;    0.0000;   -5.7893;
   87;   44;    0.0000;   -6.7797;
   88;   20;   10.0000;   -6.1054;
   89;   21;   10.0000;   -5.1149;
   90;  112;    0.0000;   -1.6245;
   91;   22;    0.0000;   -1.6245;
   92;   23;    0.0000;   -1.6245;
   93;  113;    0.0000;   -1.1323;
   94;   24;  316.2000;    0.0000;
   95;  132;    0.0000;   -3.0476;
   96;  134;    0.0000;   -2.0859;
   97;  116;    0.0000;   -2.7437;
   98;   56;    0.0000;   -2.7437;
   99;   46;    0.0000;   -2.7437;
  100;   25;    0.0000;   -2.7437;
  101;  107;    0.0000;    6.4589;
  102;  127;    0.0000;    7.8695;
  103;  128;    0.0000;    4.9017;
  104;   70;    0.0000;    5.0011;
  105;   26;    0.0000;    5.6681;
  106;   63;    0.0000;   30.7394;
  107;   27;  -19.5588;   29.7802;
  108;   28;   38.0783;   36.4475;
  109;   41;    0.0000;   -6.8130;
  110;   42;    0.0000;   -6.8130;
  111;   43;    0.0000;   -6.8130;
  112;   58;    0.0000;   31.2235;
  113;   48;    0.0000;   33.9507;
  114;   62;    0.0000;    5.6681;
  115;   29;    0.0000;    2.4165;
  116;  131;    0.0000;    2.4165;
  117;  108;    0.0000;    2.5752;
  118;  129;    0.0000;    2.7509;
  119;   49;    0.0000;    2.7509;
  120;   30;    0.0000;    2.7509;
  121;  126;    0.0000;   18.7493;
  122;   50;    0.0000;   27.1947;
  123;   67;    0.0000;    5.6681;
  124;   31;   11.6460;    6.4094;
  125;  109;    0.0000;   31.0741;
  126;  110;    0.0000;   29.8412;
  127;  125;    0.0000;   29.8417;
  128;   32;   67.0000;   29.4829;
  129;  130;    0.0000;    2.8812;
  130;  111;    0.0000;    2.7538;
  131;   57;    0.0000;    5.6681;
  132;   47;    0.0000;    5.6681;
  133;   33;    0.0000;   30.6219;
  134;   34;    0.0000;   30.6219;
