&d hh m             cotR11
&X XX X         XXXXXXXXXX
 3  0 0              93.29
 3  0 1              93.22
 3  1 0              93.14
 3  1 1              93.07
 3  2 0              92.97
 3  2 1              92.83
 3  3 0              92.66
 3  3 1              92.49
 3  4 0              92.31
 3  4 1              92.15
 3  5 0              92.00
 3  5 1              91.89
 3  6 0              91.77
 3  6 1              91.64
 3  7 0              91.51
 3  7 1              91.38
 3  8 0              91.35
 3  8 1              91.21
 3  9 0              91.12
 3  9 1              91.01
 3 10 0              90.89
 3 10 1              90.78
 3 11 0              90.70
 3 11 1              90.70
 3 12 0              90.72
 3 12 1              90.76
 3 13 0              90.79
 3 13 1              90.78
 3 14 0              90.76
 3 14 1              90.73
 3 15 0              90.70
 3 15 1              90.69
 3 16 0              90.69
 3 16 1              90.74
 3 17 0              90.58
 3 17 1              90.66
 3 18 0              90.76
 3 18 1              90.94
 3 19 0              91.13
 3 19 1              91.33
 3 20 0              91.55
 3 20 1              91.74
 3 21 0              91.93
 3 21 1              92.07
 3 22 0              92.23
 3 22 1              92.38
 3 23 0              92.46
 3 23 1              92.49
