&XXXXXX;XXXXX ;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX ;XXXXXXXXXX ;XXX ;X;
&      ;CODIGO;NOME: Usina, Barra e Tipo de Usina       ;PMAX       ;FCAP;C;
&XXXXXX;XXXXX ;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX ;XXXXXXXXXX ;XXX ;X;
EOLICA ;  994 ;NLMCS _CJMCHAPEL_06074_UEE               ;      9999 ;1.0 ;1; 
EOLICA ; 1034 ;I3VERD_Verde Vale III_06173_UFV          ;      9999 ;1.0 ;0; 
EOLICA ; 1035 ;IDCJCT_CJCAETITE123_06195_UEE            ;      9999 ;1.0 ;1; 
EOLICA ; 1089 ;I3EVB2_Ventos da Bahia II_06342_UEE      ;      9999 ;1.0 ;0; 
EOLICA ; 1090 ;I3EVB4_Ventos da Bahia IV_06342_UEE      ;      9999 ;1.0 ;0; 
EOLICA ; 1091 ;I3EVB8_Ventos da Bahia VIII_06342_UEE    ;      9999 ;1.0 ;0; 
EOLICA ; 1107 ;DSBMC _CJBMACAUBAS_06370_UEE             ;      9999 ;1.0 ;1; 
EOLICA ; 1108 ;DSUEMA_MACAUBAS_06370_UEE                ;      9999 ;1.0 ;1; 
EOLICA ; 1109 ;DSUENH_N.HORIZONTE_06370_UEE             ;      9999 ;1.0 ;1; 
EOLICA ; 1110 ;DSUESE_SEABRA_06370_UEE                  ;      9999 ;1.0 ;1; 
&XXXXXXXXXX ;XXXXX ;XXXXX ;
&           ;CODIGO;BARRA ;
&XXXXXXXXXX ;XXXXX ;XXXXX ;
EOLICABARRA ;  994 ;06074 ;
EOLICABARRA ; 1034 ;06173 ;
EOLICABARRA ; 1035 ;06195 ;
EOLICABARRA ; 1089 ;06342 ;
EOLICABARRA ; 1090 ;06342 ;
EOLICABARRA ; 1091 ;06342 ;
EOLICABARRA ; 1107 ;06370 ;
EOLICABARRA ; 1108 ;06370 ;
EOLICABARRA ; 1109 ;06370 ;
EOLICABARRA ; 1110 ;06370 ;
&XXXXXXXXXX;XXXXX ;XX ;
&          ;CODIGO;SBM;
&XXXXXXXXXX;XXXXX ;XX ;
EOLICASUBM ;  994 ;NE ;
EOLICASUBM ; 1034 ;NE ;
EOLICASUBM ; 1035 ;NE ;
EOLICASUBM ; 1089 ;NE ;
EOLICASUBM ; 1090 ;NE ;
EOLICASUBM ; 1091 ;NE ;
EOLICASUBM ; 1107 ;NE ;
EOLICASUBM ; 1108 ;NE ;
EOLICASUBM ; 1109 ;NE ;
EOLICASUBM ; 1110 ;NE ;
&XXXXXXXXXXXXXX;XXXXX ;XX ;XX ;X ;XX ;XX ;X ;XXXXXXXXXX ;
&              ;CODIGO;       DATA          ;   GERACAO ;
&XXXXXXXXXXXXXX;XXXXX ;XX ;XX ;X ;XX ;XX ;X ;XXXXXXXXXX ;
EOLICA-GERACAO ;  994 ; 4 ; 0 ;0 ; 4 ; 0 ;1 ;      63.5 ;
EOLICA-GERACAO ;  994 ; 4 ; 0 ;1 ; 4 ; 1 ;0 ;        62 ;
EOLICA-GERACAO ;  994 ; 4 ; 1 ;0 ; 4 ; 1 ;1 ;      60.5 ;
EOLICA-GERACAO ;  994 ; 4 ; 1 ;1 ; 4 ; 2 ;0 ;      58.5 ;
EOLICA-GERACAO ;  994 ; 4 ; 2 ;0 ; 4 ; 2 ;1 ;      56.5 ;
EOLICA-GERACAO ;  994 ; 4 ; 2 ;1 ; 4 ; 3 ;0 ;        56 ;
EOLICA-GERACAO ;  994 ; 4 ; 3 ;0 ; 4 ; 3 ;1 ;      55.5 ;
EOLICA-GERACAO ;  994 ; 4 ; 3 ;1 ; 4 ; 4 ;0 ;      56.5 ;
EOLICA-GERACAO ;  994 ; 4 ; 4 ;0 ; 4 ; 4 ;1 ;      57.5 ;
EOLICA-GERACAO ;  994 ; 4 ; 4 ;1 ; 4 ; 5 ;0 ;      58.5 ;
EOLICA-GERACAO ;  994 ; 4 ; 5 ;0 ; 4 ; 5 ;1 ;        60 ;
EOLICA-GERACAO ;  994 ; 4 ; 5 ;1 ; 4 ; 6 ;1 ;      61.5 ;
EOLICA-GERACAO ;  994 ; 4 ; 6 ;1 ; 4 ; 7 ;0 ;      60.5 ;
EOLICA-GERACAO ;  994 ; 4 ; 7 ;0 ; 4 ; 7 ;1 ;        60 ;
EOLICA-GERACAO ;  994 ; 4 ; 7 ;1 ; 4 ; 8 ;0 ;      60.5 ;
EOLICA-GERACAO ;  994 ; 4 ; 8 ;0 ; 4 ; 8 ;1 ;        63 ;
EOLICA-GERACAO ;  994 ; 4 ; 8 ;1 ; 4 ; 9 ;0 ;      65.5 ;
EOLICA-GERACAO ;  994 ; 4 ; 9 ;0 ; 4 ; 9 ;1 ;      64.5 ;
EOLICA-GERACAO ;  994 ; 4 ; 9 ;1 ; 4 ;10 ;0 ;      62.5 ;
EOLICA-GERACAO ;  994 ; 4 ;10 ;0 ; 4 ;10 ;1 ;        60 ;
EOLICA-GERACAO ;  994 ; 4 ;10 ;1 ; 4 ;11 ;0 ;      57.5 ;
EOLICA-GERACAO ;  994 ; 4 ;11 ;0 ; 4 ;11 ;1 ;        54 ;
EOLICA-GERACAO ;  994 ; 4 ;11 ;1 ; 4 ;12 ;0 ;        50 ;
EOLICA-GERACAO ;  994 ; 4 ;12 ;0 ; 4 ;12 ;1 ;        47 ;
